,name,currency_code,local_price,dollar_ex,date
1946,United Arab Emirates,AED,18.0,3.673,2023-01-01
1947,Argentina,ARS,980.0,184.69875,2023-01-01
1948,Australia,AUD,7.25,1.41854032200865,2023-01-01
1949,Austria,EUR,4.48,0.9195,2023-01-01
1950,Azerbaijan,AZN,4.9,1.7025,2023-01-01
1951,Belgium,EUR,4.6,0.9195,2023-01-01
1952,Bahrain,BHD,1.7,0.377,2023-01-01
1953,Brazil,BRL,22.9,5.1581,2023-01-01
1954,Canada,CAD,6.11,1.33595,2023-01-01
1955,Switzerland,CHF,6.7,0.92315,2023-01-01
1956,Chile,CLP,3800.0,800.425,2023-01-01
1957,China,CNY,24.0,6.78405,2023-01-01
1958,Colombia,COP,18900.0,4545.55,2023-01-01
1959,Costa Rica,CRC,2800.0,564.07,2023-01-01
1960,Czech Republic,CZK,99.0,21.94565,2023-01-01
1961,Germany,EUR,4.76,0.9195,2023-01-01
1962,Denmark,DKK,37.0,6.8401,2023-01-01
1963,Egypt,EGP,55.0,29.845,2023-01-01
1964,Spain,EUR,4.85,0.9195,2023-01-01
1965,Estonia,EUR,3.8,0.9195,2023-01-01
1966,Euro area,EUR,4.81,0.9195,2023-01-01
1967,Finland,EUR,5.35,0.9195,2023-01-01
1968,France,EUR,5.0,0.9195,2023-01-01
1969,Britain,GBP,3.79,0.81205,2023-01-01
1970,Greece,EUR,4.55,0.9195,2023-01-01
1971,Guatemala,GTQ,27.0,7.8438,2023-01-01
1972,Hong Kong,HKD,21.0,7.8307,2023-01-01
1973,Honduras,HNL,100.0,24.7,2023-01-01
1974,Hungary,HUF,1350.0,359.4686,2023-01-01
1975,Indonesia,IDR,35000.0,14887.5,2023-01-01
1976,India,INR,207.0,81.715,2023-01-01
1977,Ireland,EUR,4.9,0.9195,2023-01-01
1978,Israel,ILS,17.0,3.36365,2023-01-01
1979,Italy,EUR,5.2,0.9195,2023-01-01
1980,Jordan,JOD,2.5,0.71005,2023-01-01
1981,Japan,JPY,410.0,130.1,2023-01-01
1982,South Korea,KRW,4900.0,1235.45,2023-01-01
1983,Kuwait,KWD,1.9,0.30535,2023-01-01
1984,Lebanon,LBP,170000.0,38000.0,2023-01-01
1985,Sri Lanka,LKR,1820.0,364.655,2023-01-01
1986,Lithuania,EUR,3.35,0.9195,2023-01-01
1987,Latvia,EUR,3.4,0.9195,2023-01-01
1988,Moldova,MDL,60.0,18.8411,2023-01-01
1989,Mexico,MXN,79.0,18.838,2023-01-01
1990,Malaysia,MYR,12.9,4.2855,2023-01-01
1991,Nicaragua,NIO,154.0,36.45,2023-01-01
1992,Netherlands,EUR,4.88,0.9195,2023-01-01
1993,Norway,NOK,65.0,9.86415,2023-01-01
1994,New Zealand,NZD,7.5,1.53787004998078,2023-01-01
1995,Oman,OMR,1.42,0.385,2023-01-01
1996,Pakistan,PKR,780.0,230.2,2023-01-01
1997,Peru,PEN,13.9,3.8847,2023-01-01
1998,Philippines,PHP,155.0,54.435,2023-01-01
1999,Poland,PLN,17.75,4.3373,2023-01-01
2000,Portugal,EUR,4.4,0.9195,2023-01-01
2001,Qatar,QAR,14.0,3.64175,2023-01-01
2002,Romania,RON,12.3,4.51885,2023-01-01
2003,Saudi Arabia,SAR,19.0,3.7545,2023-01-01
2004,Singapore,SGD,5.9,1.32015,2023-01-01
2005,Slovakia,EUR,4.0,0.9195,2023-01-01
2006,Slovenia,EUR,3.5,0.9195,2023-01-01
2007,Sweden,SEK,57.4,10.2154,2023-01-01
2008,Thailand,THB,128.0,32.8225,2023-01-01
2009,Turkey,TRY,75.0,18.8055,2023-01-01
2010,Taiwan,TWD,75.0,30.369,2023-01-01
2011,Ukraine,UAH,92.0,36.917,2023-01-01
2012,Uruguay,UYU,268.0,39.125,2023-01-01
2013,United States,USD,5.36,1.0,2023-01-01
2014,Venezuela,VES,56.3,20.7081,2023-01-01
2015,Vietnam,VND,72000.0,23450.0,2023-01-01
2016,South Africa,ZAR,49.9,17.21,2023-01-01
2017,United Arab Emirates,AED,18.0,3.67305,2023-07-01
2018,Argentina,ARS,1650.0,275.275,2023-07-01
2019,Australia,AUD,7.45,1.48400979446464,2023-07-01
2020,Austria,EUR,4.81,0.90699,2023-07-01
2021,Azerbaijan,AZN,5.95,1.7025,2023-07-01
2022,Belgium,EUR,4.9,0.90699,2023-07-01
2023,Bahrain,BHD,1.7,0.37695,2023-07-01
2024,Brazil,BRL,22.9,4.75705,2023-07-01
2025,Canada,CAD,7.05,1.31625,2023-07-01
2026,Switzerland,CHF,6.7,0.86685,2023-07-01
2027,Chile,CLP,3900.0,839.505,2023-07-01
2028,China,CNY,25.0,7.14355,2023-07-01
2029,Colombia,COP,18900.0,3882.915,2023-07-01
2030,Costa Rica,CRC,2950.0,544.875,2023-07-01
2031,Czech Republic,CZK,105.0,21.6516,2023-07-01
2032,Germany,EUR,5.34,0.90699,2023-07-01
2033,Denmark,DKK,38.2,6.7593,2023-07-01
2034,Egypt,EGP,81.0,30.925,2023-07-01
2035,Spain,EUR,5.2,0.90699,2023-07-01
2036,Estonia,EUR,4.45,0.90699,2023-07-01
2037,Euro area,EUR,5.28,0.90699,2023-07-01
2038,Finland,EUR,5.95,0.90699,2023-07-01
2039,France,EUR,5.3,0.90699,2023-07-01
2040,Britain,GBP,4.19,0.77721,2023-07-01
2041,Greece,EUR,4.7,0.90699,2023-07-01
2042,Guatemala,GTQ,29.0,7.8689,2023-07-01
2043,Hong Kong,HKD,23.0,7.7987,2023-07-01
2044,Honduras,HNL,102.0,24.62,2023-07-01
2045,Croatia,EUR,4.09,0.90699,2023-07-01
2046,Hungary,HUF,1400.0,351.0725,2023-07-01
2047,Indonesia,IDR,38000.0,15080.0,2023-07-01
2048,India,INR,209.0,82.2488,2023-07-01
2049,Ireland,EUR,5.1,0.90699,2023-07-01
2050,Israel,ILS,17.0,3.66365,2023-07-01
2051,Italy,EUR,5.8,0.90699,2023-07-01
2052,Jordan,JOD,2.5,0.70895,2023-07-01
2053,Japan,JPY,450.0,142.08,2023-07-01
2054,South Korea,KRW,5200.0,1274.65,2023-07-01
2055,Kuwait,KWD,1.4,0.3071,2023-07-01
2056,Lebanon,LBP,430000.0,85500.0,2023-07-01
2057,Sri Lanka,LKR,1820.0,327.5,2023-07-01
2058,Lithuania,EUR,3.85,0.90699,2023-07-01
2059,Latvia,EUR,3.7,0.90699,2023-07-01
2060,Moldova,MDL,63.0,17.665,2023-07-01
2061,Mexico,MXN,89.0,16.7025,2023-07-01
2062,Malaysia,MYR,13.15,4.509,2023-07-01
2063,Nicaragua,NIO,159.0,36.55,2023-07-01
2064,Netherlands,EUR,5.33,0.90699,2023-07-01
2065,Norway,NOK,70.0,10.1165,2023-07-01
2066,New Zealand,NZD,8.1,1.60681288663935,2023-07-01
2067,Oman,OMR,1.42,0.38505,2023-07-01
2068,Pakistan,PKR,985.0,286.25,2023-07-01
2069,Peru,PEN,14.9,3.60375,2023-07-01
2070,Philippines,PHP,155.0,54.925,2023-07-01
2071,Poland,PLN,19.9,3.9946,2023-07-01
2072,Portugal,EUR,4.9,0.90699,2023-07-01
2073,Qatar,QAR,14.0,3.64,2023-07-01
2074,Romania,RON,14.5,4.4761,2023-07-01
2075,Saudi Arabia,SAR,19.0,3.7516,2023-07-01
2076,Singapore,SGD,6.45,1.3278,2023-07-01
2077,Slovakia,EUR,4.3,0.90699,2023-07-01
2078,Slovenia,EUR,3.6,0.90699,2023-07-01
2079,Sweden,SEK,60.27,10.5075,2023-07-01
2080,Thailand,THB,128.0,34.22875,2023-07-01
2081,Turkey,TRY,95.0,26.92675,2023-07-01
2082,Taiwan,TWD,75.0,31.4265,2023-07-01
2083,Ukraine,UAH,105.0,36.93145,2023-07-01
2084,Uruguay,UYU,259.0,37.765,2023-07-01
2085,United States,USD,5.58,1.0,2023-07-01
2086,Vietnam,VND,74000.0,23687.5,2023-07-01
2087,South Africa,ZAR,49.9,17.78375,2023-07-01
